,Unnamed: 0,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded,year_YYYY,month_MM
130,130,2018-09-01,19,7,5,14,0,29,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2018,8
131,131,2019-02-01,39,12,6,13,0,5,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,1
132,132,2019-06-01,38,15,5,19,2,47,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,5
133,133,2019-01-01,21,8,6,5,0,33,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,0
134,134,2018-07-01,21,7,5,16,0,10,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2018,6
135,135,2019-10-01,24,9,6,10,1,1,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,9
136,136,2020-05-01,23,8,3,12,3,55,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2020,4
137,137,2019-04-01,38,13,4,16,0,19,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,3
138,138,2020-03-01,33,15,9,16,2,17,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2020,2
139,139,2018-11-01,27,7,4,11,0,74,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2018,10
140,140,2018-10-01,18,8,4,17,0,50,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2018,9
141,141,2018-12-01,17,6,5,7,0,46,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2018,11
142,142,2019-07-01,44,15,10,17,0,44,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,6
