,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,dial100_count,ps_code,population,urban,dist_urban,strat_pca,treatment,group,dist_id,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd
4028,2019-09-01,12,3,2,1,0,50,16.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4029,2019-07-01,19,4,3,1,0,37,25.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4030,2019-11-01,19,5,4,2,0,50,16.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4031,2018-09-01,26,2,2,1,0,44,11.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4032,2019-12-01,13,5,3,0,0,45,14.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4033,2018-12-01,23,1,1,0,0,54,8.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4034,2019-03-01,19,2,1,0,0,49,25.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4035,2019-02-01,23,5,4,1,0,35,4.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4036,2019-05-01,26,1,1,0,0,44,26.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4037,2019-06-01,25,8,4,1,0,29,19.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4038,2020-05-01,37,3,2,1,0,67,35.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4039,2019-01-01,21,4,2,4,0,26,11.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4040,2018-10-01,39,2,1,0,0,43,13.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4041,2018-06-01,23,3,1,7,0,44,25.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4042,2019-04-01,27,6,3,4,0,39,12.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4043,2020-01-01,22,9,5,3,0,32,14.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4044,2018-07-01,22,3,3,6,0,34,19.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4045,2018-11-01,30,1,1,0,0,55,22.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4046,2018-05-01,24,5,5,12,0,43,53.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4047,2019-10-01,22,7,4,3,0,60,22.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4048,2019-08-01,20,8,3,0,0,59,12.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4049,2020-04-01,45,2,1,0,0,19,12.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4050,2019-09-01,16,4,2,0,0,40,4.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4051,2018-11-01,23,3,2,10,0,46,11.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4052,2020-03-01,6,1,1,0,0,27,13.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4053,2019-08-01,18,3,2,0,0,40,18.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4054,2019-01-01,15,9,7,13,0,20,14.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4055,2018-12-01,7,0,0,0,0,23,5.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4056,2020-05-01,30,2,2,4,0,65,13.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4057,2019-03-01,10,0,0,0,0,38,7.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4058,2018-08-01,14,3,3,4,0,30,9.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4059,2020-02-01,5,0,0,0,0,25,14.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4060,2019-07-01,16,3,3,2,0,54,12.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4061,2020-04-01,19,2,2,5,0,38,17.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4062,2019-04-01,16,2,1,0,0,40,8.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4063,2019-02-01,13,3,3,0,0,7,8.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4064,2018-06-01,16,4,3,9,0,44,25.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4065,2019-10-01,9,2,2,0,0,34,8.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4066,2018-05-01,9,2,2,3,0,36,40.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4067,2019-06-01,19,6,3,1,0,86,19.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4068,2018-07-01,9,3,2,3,0,36,21.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4069,2018-09-01,10,3,3,3,0,18,13.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4070,2019-05-01,13,0,0,0,0,48,14.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
4071,2020-01-01,1,0,0,0,0,22,11.0,11163.0,84523,Rural,17.0,-1.9620014,Treatment,women officers,11000.0,9.0,3.889328,3.0,0.0,1.0
