,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded
440,2020-05-01,40,12,4,3,19,68,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
443,2019-05-01,44,7,4,1,0,42,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
445,2019-06-01,50,12,8,6,0,44,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
446,2020-04-01,30,9,3,2,9,44,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
450,2020-05-01,33,8,5,2,4,44,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
451,2019-08-01,20,7,5,3,0,56,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
453,2020-02-01,10,4,2,0,6,41,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
455,2019-10-01,34,10,5,2,9,34,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
456,2019-12-01,19,8,5,3,4,47,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
459,2020-01-01,13,5,4,0,1,33,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
461,2019-05-01,30,14,6,5,0,89,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
462,2019-06-01,33,9,4,0,0,112,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
466,2019-09-01,23,6,2,0,4,36,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
468,2020-04-01,10,2,2,2,11,26,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
471,2020-03-01,19,7,5,7,2,46,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
473,2019-07-01,27,10,3,4,0,123,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
474,2019-11-01,29,9,5,2,4,57,2019.0,Rural,2.0,Treatment,8.0,2.3333333,2.12,0.0,1.0,0.0,1.0
476,2020-03-01,14,2,2,1,0,6,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
477,2019-12-01,13,3,2,2,1,8,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
478,2020-04-01,6,2,2,4,1,15,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
481,2020-02-01,9,0,0,0,0,11,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
484,2019-08-01,12,3,2,3,0,5,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
486,2019-11-01,8,3,3,2,0,10,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
487,2019-07-01,14,4,4,5,0,5,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
490,2020-01-01,9,0,0,0,3,18,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
491,2019-09-01,7,0,0,0,0,10,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
493,2020-05-01,11,1,1,0,0,19,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
494,2019-10-01,13,1,1,0,0,7,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
495,2019-06-01,11,2,2,2,0,0,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
496,2019-05-01,10,3,3,2,0,2,2020.0,Rural,2.0,Treatment,0.0,0.72727275,0.0,1.0,0.0,0.0,1.0
525,2019-06-01,50,10,6,5,0,67,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
526,2020-04-01,21,1,1,0,5,74,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
527,2019-09-01,39,8,5,2,0,78,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
530,2020-01-01,43,13,6,5,16,79,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
532,2019-11-01,32,8,4,2,0,109,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
536,2020-02-01,45,8,6,3,3,70,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
539,2019-12-01,32,13,6,8,3,113,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
541,2019-10-01,57,11,9,2,0,104,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
542,2020-05-01,36,3,2,0,1,124,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
544,2020-03-01,31,3,3,3,2,83,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
546,2019-07-01,41,6,4,4,0,125,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
548,2019-05-01,34,11,6,4,0,46,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
549,2019-08-01,27,5,3,0,0,102,2022.0,Rural,2.0,Treatment,9.0,4.5441175,2.12,1.0,0.0,0.0,1.0
552,2019-08-01,27,5,5,4,1,67,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
554,2019-09-01,33,7,5,5,2,75,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
556,2020-05-01,44,1,1,0,0,48,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
557,2019-11-01,37,4,4,2,2,65,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
558,2020-02-01,25,3,3,2,2,65,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
559,2019-06-01,43,12,8,18,1,111,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
561,2019-10-01,35,2,2,2,1,62,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
563,2020-04-01,42,1,1,0,0,9,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
565,2020-03-01,63,5,4,3,0,65,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
566,2019-12-01,32,4,3,3,3,63,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
568,2019-07-01,65,10,6,13,2,102,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
573,2020-01-01,29,2,2,1,2,53,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
