,uid,b_visit,b_pol_handling,b_safety,e_urja_knowledge,e_visit,e_pol_handling,e_safety,spw,e_gender,hh_id,member_gender,ps_code,population,urban,dist_urban,strat_pca,treatment,group,dist_id,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,attrited
59,10522481,0.0,1.0,3.6666667,No,0.0,1.0,4.0,0.002236511,Female,1052248.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
60,10532011,0.0,-0.6666667,3.0,,,,,0.0034986164,,1053201.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
61,10532021,0.0,0.7777778,3.3333333,,,,,0.0034986164,,1053202.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
62,10532031,0.0,0.0,3.3333333,,,,,0.0034986164,,1053203.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
63,10532041,0.0,-1.0,1.6666666,No,0.0,0.75,3.0,0.0034986164,Female,1053204.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
64,10532051,0.0,0.25,3.0,No,0.0,1.0,3.0,0.0034986164,Female,1053205.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
65,10532061,0.0,-0.4,3.6666667,,,,,0.0034986164,,1053206.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
66,10532071,0.0,0.44444445,3.3333333,,,,,0.0034986164,,1053207.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
67,10532091,0.0,0.0,2.6666667,No,0.0,0.25,2.3333333,0.0034986164,Female,1053209.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
68,10532111,0.0,0.0,3.6666667,,,,,0.0034986164,,1053211.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
69,10532121,0.0,0.75,3.3333333,,,,,0.0034986164,,1053212.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
70,10532141,0.0,0.0,3.6666667,No,1.0,-0.16666667,3.6666667,0.0034986164,Female,1053214.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
71,10532150,0.0,0.22222222,3.6666667,,,,,0.01749308,,1053215.0,male,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
72,10532151,0.0,0.0,3.0,,,,,0.0034986164,,1053215.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
73,10532161,0.0,-1.0,3.6666667,,,,,0.0034986164,,1053216.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
74,10532171,0.0,0.0,3.3333333,,,,,0.0034986164,,1053217.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
75,10532181,0.0,0.0,3.0,No,0.0,0.375,2.6666667,0.0034986164,Female,1053218.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
76,10532191,0.0,0.33333334,2.6666667,No,0.0,-0.25,2.0,0.0034986164,Female,1053219.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
77,10532200,0.0,-0.44444445,3.6666667,No,1.0,1.0,4.0,0.01749308,Male,1053220.0,male,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
78,10532201,0.0,0.0,3.6666667,,,,,0.0034986164,,1053220.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
79,10532211,0.0,0.11111111,3.0,,,,,0.0034986164,,1053221.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
80,10532221,0.0,1.0,3.3333333,No,1.0,0.6666667,3.3333333,0.0034986164,Female,1053222.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
81,10532250,0.0,0.5,3.3333333,,,,,0.01749308,,1053225.0,male,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
82,10532251,0.0,0.7777778,3.3333333,No,1.0,0.875,3.0,0.0034986164,Female,1053225.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
83,10532300,0.0,0.0,4.0,,,,,0.01749308,,1053230.0,male,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
84,10532301,0.0,0.75,3.3333333,,,,,0.0034986164,,1053230.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
85,10532321,0.0,1.0,3.3333333,,,,,0.0034986164,,1053232.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
86,10532341,0.0,-0.375,3.3333333,No,0.0,0.0,2.6666667,0.0034986164,Female,1053234.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
87,10532381,0.0,-0.2,3.6666667,No,0.0,0.0,3.0,0.0034986164,Female,1053238.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
88,10532400,0.0,0.7777778,3.6666667,No,1.0,1.0,3.6666667,0.01749308,Male,1053240.0,male,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,0.0
89,10532401,0.0,0.44444445,3.3333333,,,,,0.0034986164,,1053240.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
90,10532441,0.0,0.125,3.3333333,,,,,0.0034986164,,1053244.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
91,10532451,0.0,,3.3333333,,,,,0.0034986164,,1053245.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
92,10532461,0.0,-0.125,3.6666667,,,,,0.0034986164,,1053246.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
93,10532481,0.0,0.0,3.3333333,,,,,0.0034986164,,1053248.0,female,3025.0,85000,Urban,4.0,0.15290163,Treatment,regular mhd,3000.0,8.0,2.3077922,1.2,1.0,0.0,1.0
94,10542011,0.0,0.33333334,3.3333333,No,0.0,0.875,3.5,0.0010615234,Female,1054201.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,0.0
95,10542021,0.0,0.33333334,3.0,No,0.0,0.5714286,3.3333333,0.0010615234,Female,1054202.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,0.0
96,10542041,0.0,0.2,3.3333333,,,,,0.0010615234,,1054204.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
97,10542051,0.0,0.33333334,3.6666667,No,1.0,1.0,3.3333333,0.0010615234,Female,1054205.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,0.0
98,10542061,0.0,-0.16666667,3.6666667,,,,,0.0010615234,,1054206.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
99,10542071,0.0,0.6666667,3.3333333,,,,,0.0010615234,,1054207.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
100,10542081,0.0,0.5714286,3.0,,,,,0.0010615234,,1054208.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
101,10542101,0.0,0.22222222,3.3333333,,,,,0.0010615234,,1054210.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
102,10542111,0.0,1.0,3.6666667,,,,,0.0010615234,,1054211.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
103,10542121,0.0,0.6666667,3.6666667,No,0.0,1.0,3.0,0.0010615234,Female,1054212.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,0.0
104,10542141,0.0,-0.8888889,3.3333333,,,,,0.0010615234,,1054214.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
